Id,Emotion,Sentence
1,Other,"tính tao tao biết , chẳng có chuyện gì có thể làm tao phát điên cả"
2,Enjoyment,"lại là lào cai , tự hào quê mình quá :))"
3,Sadness,bị từ chối rồi
4,Enjoyment,tam đảo trời đẹp các mem à
5,Other,đọc bình luận của thằng đó không thiếu chữ nào 😂😂
6,Enjoyment,crush tao vẫn còn trinh nhé 😘
7,Anger,nó nói không đúg ư . đg của nhà bà ư . nó đóg phí đg bộ còn nhà bà thì đóg thuế đất thôi . đất nhà bà sử dụg được cả mặt đg cơ . sao không mag ban ghế ra đấy mà kê
8,Fear,gap kiểu này chắc đái ra quần quá
9,Enjoyment,yêu em mọa mọa 😘😘
10,Sadness,có ai như tao không đọc đề thì quen nhưng lại quên phương pháp giải . chắc mất gốc rồi :((
11,Enjoyment,t cười ỉa ...🤣🤣
12,Fear,tao không biết tao đủ ổn để đi học thêm không nữa
13,Sadness,làm chó khổ lắm chứ bộ :((
14,Enjoyment,per hay xàm xàm mà zui hè
15,Disgust,dm thể loại xàm lồn
16,Disgust,loại không biết trân trọng những gì mik nhận được thì mãi mãi chỉ là những kẻ nghèo hèn bẩn thỉu 😒
17,Enjoyment,per 1 thời mệ nội kho thịt ngon hí
18,Disgust,bạn không có quyền đuổi người ta . khó chịu thì gọi ca giao thông thôi . bạn đuổi họ bạn sai lè lè
19,Sadness,"đôi khi cũng muốn dỗi lắm , nhưng nghĩ lại đéo có người yêu mà dỗi"
20,Sadness,ngô ̀ i đo ̣ c bình luận chu ́ người no ́ tag người yêu va ̀ o ma ̀ sô ́ người mu ̃ i la ̣ i cay =))
21,Enjoyment,đã đẹp trai còn khôn 🙂
22,Anger,cũng chỉ vì việt nam nuôi một lũ kỹ sư . tiến sĩ phá hoại mới làm thiệt hại kinh tế nhiều vô kể chúng nó sài toàn bằng tại trức thì biết con mẹ gì mà đưa cây cao su ra bắc trồng khác gì đưa cây dừa ở trong nam ra bắc trồng . một lũ bò
23,Anger,nghe cái giọng thằng quay phim ăn nói đoạn cuối thực sự muốn làm 1 đấm nhẹ nhẹ vô cái mỏ nó . chả vui vẻ gì .
24,Enjoyment,khi 2 đứa giận nhau thì dắt nhau vào nn là xong =))))
25,Disgust,làm ăn nhố nhăng
26,Fear,tao sợ ăn xong nóng đêm gãi toét chân
27,Disgust,tao không được ăn thì mày cung đừng hòng
28,Surprise,per giảm tốc kìa haha
29,Enjoyment,mẹ đi ngầu chết mẹ đi được chứ kì quặc gì =))))
30,Sadness,moá . tao muốn chết quách cho rồi
31,Disgust,nói chuyện như vậy bảo sao đất nước không phát triển
32,Other,còn đỡ hơn bữa ăn sáng nay của tao nhiều .
33,Anger,dume . lưu manh từ nhỏ . khốn nạn
34,Enjoyment,anh đã mơ về một ngôi nhà và những đứa trẻ 🤦🏻‍♂️
35,Fear,mẹ tao vừa đọc xong còn tag tên tao vào . bọn mày có cách nào trưa nay không về nhà mà vẫn có tiền ăn cơm không chỉ tao với
36,Fear,"per nhớ ngày xưa gần nhà mày có đàn ngỗng , tụi khốn nạn đó toàn đi dàn hàng ngang chắn hết đường hết lối , mỗi lần tao đạp xe qua là rượt tao gần chết :v ám ảnh vãi"
37,Fear,"tao rợn hết người luôn , ghi công mày 😑😑"
38,Other,tôi nghĩ nên tăng tiền phạt lên
39,Disgust,ác độc thế
40,Disgust,dơ dáy
41,Other,"không biết sao chứ tao đọc bình luận thấy toàn bình luận bảo là chữ này là do người lớn viết ra , rút cuộc là sao ?"
42,Sadness,kím cớ nói chuyện chỉ để biết người đó làm gì đang như nào . có vui hay buồn . rồi lại thôi
43,Enjoyment,năm nay thì đở hơn rồi kkkk
44,Surprise,"hôm qua còn không có lông chân , hôm nay mọc lẹ thế =)))"
45,Enjoyment,lương cũng sắp về rồi 😉
46,Enjoyment,ồ ! rất nhớ !
47,Disgust,phản dame gắt vãi
48,Other,t chốg mắt lên xem chúg mày mặn nồg đến bao giờ 🙃
49,Other,vậy thấy đứa nào thân thân với mình là mình block nó lại à ?? .-.
50,Other,thoáng chốc thành đống sắt vụn
51,Surprise,"moá ơi , lợn mặt trăng 😂😂😂"
52,Enjoyment,sống với nhau đến cuối đời người ta cũng chỉ mong có vậy .
53,Sadness,nhìn là yêu roi muốn nuôi quá trời mà sợ không chăm được em 😢
54,Enjoyment,"đúng vậy , có họ ở bên cạnh nuôi nấng ta từng ngày đã là quý lắm rồi"
55,Disgust,thực sự là một trò cười
56,Enjoyment,đó là những nơi khác . chứ chỗ làm của em . anh chị đáng yêu v đáng quý . em học tập được rất nhìu kinh nghiệm .
57,Sadness,ba mẹ tao chửi tao tao chỉ biết câm họng và bưng tô cơm ra chỗ khác vừa ngồi ăn vừa khóc một mình cho dù biết răng mình k có lỗi 😭😭 !?
58,Anger,per tao bị con mặt nồi này dí 2 lần táp vào chân bầm tím chạy muốn súc quần .. đang đi không làm gì nó nó cũng dí .. mẹ bà kkk
59,Anger,anh tao làm trò đùa cho chúng mày à :'(
60,Anger,trên quê tôi . trc nói trong vòng 6 đến 7 năm sẽ cho hưởng cổ tức . vậy mà đến giờ đã hơn 10 năm vẫn chưa được hưởng 1 xu nào . cao su trồng thì chết lên chết xuống . giờ cũng chưa thấy cạo mủ . mất bao nhiêu đất rừng của dân . hôm nào mời vtv24 làm 1 chuyến lên quê tôi . sẽ biết thế nào ?
61,Disgust,xém lại lên báo vụ bác sĩ bị người nhà bệnh nhân hành hung cho đến chết 😌😌😌😌😌
62,Enjoyment,nam nhân nhà người ta kbh làm tôi thất vọng
63,Anger,chắc tao lại vác dao đâm chết cdm bọn hãm này :))))
64,Disgust,"ho ̣ c ha ̀ nh tra ̉ thâ ̀ y cô hê ́ tao , ba ̀ đo ́ thi ̀ con cặc trư ́ người nư ̃ anh đâu ma ̀ thai vơ ́ i sư ̀ người"
65,Other,"tốt nhất là đừng crush ai ngoài bản thân ra cả , để khi nhớ thì chỉ cần lấy gương ra nhìn cái là được 😑"
66,Enjoyment,"những người đang buồn ỉa mà càng nhịn , khi bùng phát mới thật sự đáng sợ 😂😂"
67,Enjoyment,"kết mỗi câu ru con ngủ để vợ đắp mặt nạ làm đẹp , 10đ chồng tốt =))))"
68,Other,"thôi đi cháu , chưa đủ tuổi thì đừng mê trai , đừng đẩy con nhà người ta vào tù :v"
69,Sadness,"t đã hối hận vì nói ra , để rồi bao giờ tao với cô ấy chẳng còn thể nói chuyện như trước nữa"
70,Other,đúng rồi . chỉ có thằng ghệ nó trầm cảm thôi
71,Sadness,tội nghiệp các bé đạp xe đi học
72,Other,máy xay sinh tố chớ gì .
73,Enjoyment,đẹp người đẹp cả giấc mơ 😊
74,Anger,... bố nhà mày ... t nông thôn còn không biết nấu đòi thành phố ...
75,Enjoyment,nhện thông minh quá per
76,Enjoyment,quá hay cho admin
77,Anger,"thế đường không cấm đỗ , bạn lấy quyền gì không cho người ta đỗ vậy"
78,Anger,đời ghét nhất thể loại ăn chặn quỵt tiền người khác . nếu không hài lòng cách dạy thì trả tiền cho đủ rồi thôi . thời gian họ bỏ ra thiệt sự quá phí
79,Surprise,sản phẩm nhìn lạ quá ta
80,Enjoyment,best pha cuối bonus 😂😂
81,Sadness,chúng mày có thể bỏ ra 30s thả tim vào avatar coi như lì xì muộn cho tao được không ? chưa bao giờ được 30 tim buồn v . lol 😭😭😭😭
82,Surprise,tr má cái tướng ổng nằm
83,Enjoyment,cái máy này có thật thì bọn chính trị gia sẽ ăn cứt hết 😂😂
84,Disgust,phạt cho qua mắt dân đen thôi mà ?
85,Sadness,lấy chồng như 1 canh bạc . ko hoa . ko lời chúc không gì hết . pải chăng số ta chỉ được vậy . cô đơn quen rồi
86,Disgust,cái quan trọng là ý nghĩ chứ đâu phải nó ngu . =)))
87,Other,và rồi xung quanh thắc măc rằng mày đã không còn là con gái từ khi nào
88,Anger,tao là tao tát vỡ mõm ngay
89,Other,chửi nữa đi anh ơi :))
90,Enjoyment,haha còn tao thì thấy nó lúc nào cũng đáng yêuc 😄😄😄
91,Sadness,chẳng bằng bố tao 13 năm tự nhiên hỏi bố biết tên con là gì không thì chần chừ một lúc rồi phun ra tên chị tao
92,Sadness,đúng là chân thật luôn luôn tổn thương !
93,Sadness,"per đúng rồi , không muốn xa cách đâu 😞"
94,Enjoyment,thích cái bộ đồ ngủ gê 😂
95,Enjoyment,ủa là đụme video hài hay deep vậy . chớ tao thấy buồn cười vãi vì nhây đéo tả được :)))
96,Disgust,neymar mà lại phải hiếp dâm 1 cô gái à ???
97,Other,"đã làm thì làm cho lố vào , không thì khép nép lại"
98,Other,lead đời mới chê lead đời cũ là : “ xe mày vứt đi được rồi đấy ” 🤣🤣🤣🤣🤣
99,Sadness,xem xong hết cái video mà cảm thấy buồn cho cái xã hội bây giờ
100,Disgust,ngu mới lắp . tiền gửi ngân hàng được nửa tiền điện cái hoàn vốn . sau này nó hấp thụ kém mặt trời . lại thay .
101,Disgust,bởi thế việt nam đéo bao giờ khá nổi về mặt ý thức được =)) nhờ mấy đĩ này chứ đâu :v
102,Enjoyment,tình yêu lớn lên sẽ mang người con gái ta yêu thành gia đình . family is all
103,Other,:))) ai hỏi mày :vv
104,Enjoyment,"nhin gia dinh họ that de thuong , hạnh phúc"
105,Enjoyment,không hiểu sao đoạn này rất kích thích trái tim hủ nữa của tao =))))
106,Anger,ý thức như lol . 😂😂
107,Fear,"sợ vãi , mém xỉu"
108,Sadness,mùa thu năm ấy cta đã gặp nhau ?
109,Other,"per đấy , có người đưa ra quyết định đúng lúc thì các em đỡ khổ còn gì"
110,Enjoyment,dù thời tiết nóng bức ... nhưng ăn vải vẫn là ngon nhất
111,Sadness,"ăn 1 miếng bò mà giết thêm đàn kiến . chưa biết ngon thế nào nhưng một đàn kiến về cõi vĩnh hằng , tội cho đàn kiến ."
112,Disgust,s không để tới lúc chết rồi thêm kỷ lục xác chết có móng tay dài nhất :v
113,Disgust,động đực à mấy thằng kia ? :(( thương lũ chó nhà tao mấy tuổi rồi vẫn không biết động đực hay đi tìm gái cơ !! =]]
114,Other,một lần chơi lớn để xem anh em có trầm trồ :3
115,Enjoyment,đã trải qua và thấy chuẩn cơm má nấu
116,Enjoyment,"công nhận , thời xưa bệnh mà cũng vui vãi . :)))"
117,Enjoyment,và cứ thế tôi khóa lại 3 năm thanh xuân tươi đẹp của mình :)
118,Disgust,như đùa ở vn mà như trên sao hoả vậy
119,Disgust,chơi cái trò gì mất dạy dậy ... chơi mình đi má ai rãnh đâu mà chơi ....
120,Anger,"đm bào tao tao cầm nón nhảy vào phang vỡ con mẹ nó alo chứ ở đấy đòi đo lồn , tao lại xé con mẹ nó háng ra !"
121,Enjoyment,biết trân trọng những gì mình đang có ☺️
122,Disgust,ngu thiệt trời
123,Other,nên phát huy
124,Sadness,đến giờ tao vẫn chưa biết biển là cái gì ad ạ .
125,Other,vàng chắng bây giờ thành chắng tay ! em bình phước đây ! em hiểu cái này hơn các bác nhiều đó !
126,Other,"ngày hôm ấy , buổi học cuối ... tao bị 2 thg bạn rủ cúp học chơi net :))"
127,Enjoyment,già còn thích phi công =))
128,Enjoyment,cám ơn các anh
129,Enjoyment,mình sống ảo quen rồi nên đắp mặt nạ cũng đắp bằng app luôn :))))
130,Enjoyment,học giỏi lại xinh xắn hì
131,Enjoyment,crush hôm nay đeo khẩu trag không thấy nó cười mà nhìn mắt dể thương vãi ra 😂
132,Anger,địt cụ hỏi nhiều vãi
133,Fear,per mày cứ kén chọn đi chúng nó yêuc nhaooo hết rồi kia kìa ahuhu .. không tin vào mấy thằng ông nội cơ bắpppp nữaaa
134,Enjoyment,per ê chó coi đi nghe nói hay lắm á
135,Fear,bức ảnh này lại làm mình bị ám ảnh . haz
136,Disgust,bất nhân
137,Other,không biết là sống ngoài đó rồi đi ị như thế nào 🤔
138,Enjoyment,"a nói là anh làm ngay đấy , các chú đừng đùa với anh 😂"
139,Disgust,per per per tao chả tháy bài này hay cái gì cả . nhạt nhẽo ..
140,Disgust,"a trai mình từng làm trung nguyên 3 năm thôi . cũng gặp qua bà thảo với ông vũ rồi , bà thảo đúng chất con buôn , tham lam lắm , chả có tâm chút nào 👌"
141,Disgust,ghét nhất thể loại này
142,Disgust,"lũ khốn nạn , giết người không dao"
143,Disgust,"nhiều người việt nam ngộ lắm bỏ ra có 5k mà đã muốn làm mẹ thiên hạ rồi , chứ nói gì 100k"
144,Disgust,"có gạt tàn , gạt tàn thuốc dô gạt tàn xong xuôi còn đầu lọc vứt xuống chân .... đéo hiểu"
145,Disgust,khôn vặt như này ai chơi lại
146,Disgust,per nhai mãi mệt không mày
147,Enjoyment,ừ ... ừ =))) dume cười gần chết :v
148,Sadness,đây là lần cuối cùng các bạn nhìn thấy anh ấy :d
149,Enjoyment,mình làm ở sài gòn gặp nhiều bạn ở miền ngoài nhưng thích nghe nhất giọng ở phú yên nghe hay hay sau ah có ai vậy không
150,Other,cũng không có gì đặc sắc lắm . vì em còn mặc cả áo khoác chống cả tuyết lên cơ
151,Sadness,nỗi đau ấy ai thấy giúp tôi
